Thu Feb 17 00:28:55 PST 2022,GET,2224,201,1645086533580,1645086535804,002853,002855,85
Thu Feb 17 00:28:55 PST 2022,GET,2613,201,1645086533076,1645086535689,002853,002855,46
Thu Feb 17 00:28:56 PST 2022,GET,2934,201,1645086533075,1645086536009,002853,002856,31
Thu Feb 17 00:28:55 PST 2022,GET,2865,201,1645086533084,1645086535949,002853,002855,54
Thu Feb 17 00:28:55 PST 2022,GET,2613,201,1645086533076,1645086535689,002853,002855,76
Thu Feb 17 00:28:55 PST 2022,GET,2776,201,1645086533074,1645086535850,002853,002855,110
Thu Feb 17 00:28:55 PST 2022,GET,1910,201,1645086533567,1645086535477,002853,002855,17
Thu Feb 17 00:28:55 PST 2022,GET,2406,201,1645086533574,1645086535980,002853,002855,87
Thu Feb 17 00:28:55 PST 2022,GET,2873,201,1645086533077,1645086535950,002853,002855,95
Thu Feb 17 00:28:55 PST 2022,GET,2224,201,1645086533581,1645086535805,002853,002855,21
Thu Feb 17 00:28:55 PST 2022,GET,2844,201,1645086533085,1645086535929,002853,002855,5
Thu Feb 17 00:28:55 PST 2022,GET,2318,201,1645086533585,1645086535903,002853,002855,120
Thu Feb 17 00:28:55 PST 2022,GET,2700,201,1645086533083,1645086535783,002853,002855,39
Thu Feb 17 00:28:55 PST 2022,GET,2478,201,1645086533078,1645086535556,002853,002855,38
Thu Feb 17 00:28:55 PST 2022,GET,1994,201,1645086533585,1645086535579,002853,002855,84
Thu Feb 17 00:28:55 PST 2022,GET,2277,201,1645086533574,1645086535851,002853,002855,16
Thu Feb 17 00:28:55 PST 2022,GET,2844,201,1645086533083,1645086535927,002853,002855,113
Thu Feb 17 00:28:55 PST 2022,GET,2351,201,1645086533578,1645086535929,002853,002855,104
Thu Feb 17 00:28:55 PST 2022,GET,2853,201,1645086533069,1645086535922,002853,002855,52
Thu Feb 17 00:28:55 PST 2022,GET,2857,201,1645086533073,1645086535930,002853,002855,77
Thu Feb 17 00:28:55 PST 2022,GET,2585,201,1645086533105,1645086535690,002853,002855,126
Thu Feb 17 00:28:55 PST 2022,GET,2120,201,1645086533569,1645086535689,002853,002855,64
Thu Feb 17 00:28:55 PST 2022,GET,2350,201,1645086533575,1645086535925,002853,002855,28
Thu Feb 17 00:28:55 PST 2022,GET,2228,201,1645086533574,1645086535802,002853,002855,72
Thu Feb 17 00:28:55 PST 2022,GET,2904,201,1645086533072,1645086535976,002853,002855,61
Thu Feb 17 00:28:55 PST 2022,GET,2401,201,1645086533580,1645086535981,002853,002855,45
Thu Feb 17 00:28:55 PST 2022,GET,2229,201,1645086533576,1645086535805,002853,002855,92
Thu Feb 17 00:28:55 PST 2022,GET,2360,201,1645086533568,1645086535928,002853,002855,35
Thu Feb 17 00:28:55 PST 2022,GET,2424,201,1645086533570,1645086535994,002853,002855,73
Thu Feb 17 00:28:55 PST 2022,GET,1999,201,1645086533581,1645086535580,002853,002855,91
Thu Feb 17 00:28:55 PST 2022,GET,2275,201,1645086533578,1645086535853,002853,002855,94
Thu Feb 17 00:28:56 PST 2022,GET,2429,201,1645086533578,1645086536007,002853,002856,8
Thu Feb 17 00:28:55 PST 2022,GET,2568,201,1645086533379,1645086535947,002853,002855,6
Thu Feb 17 00:28:55 PST 2022,GET,2824,201,1645086533080,1645086535904,002853,002855,69
Thu Feb 17 00:28:55 PST 2022,GET,2909,201,1645086533085,1645086535994,002853,002855,81
Thu Feb 17 00:28:55 PST 2022,GET,2367,201,1645086533586,1645086535953,002853,002855,50
Thu Feb 17 00:28:55 PST 2022,GET,2815,201,1645086533070,1645086535885,002853,002855,53
Thu Feb 17 00:28:55 PST 2022,GET,2865,201,1645086533085,1645086535950,002853,002855,15
Thu Feb 17 00:28:55 PST 2022,GET,2271,201,1645086533582,1645086535853,002853,002855,100
Thu Feb 17 00:28:55 PST 2022,GET,2705,201,1645086533101,1645086535806,002853,002855,124
Thu Feb 17 00:28:55 PST 2022,GET,2899,201,1645086533084,1645086535983,002853,002855,70
Thu Feb 17 00:28:55 PST 2022,GET,2415,201,1645086533080,1645086535495,002853,002855,33
Thu Feb 17 00:28:55 PST 2022,GET,2088,201,1645086533570,1645086535658,002853,002855,30
Thu Feb 17 00:28:55 PST 2022,GET,2873,201,1645086533077,1645086535950,002853,002855,9
Thu Feb 17 00:28:55 PST 2022,GET,2909,201,1645086533085,1645086535994,002853,002855,106
